"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"Blake Beavan","SP",4.73333333333333,0.609,89.0706073740657,11.2972313056897,0.243230625583567,0.129666666666667,3
"Blake Parker","RP",0.894029850746269,0.619970149253731,91.5721992521036,12.9794562665823,0.190479631131509,0.245820895522388,67
"Blake Treinen","RP",1.02205882352941,0.688514705882353,96.3375922612032,9.65141691967258,0.160777507929089,0.241838235294118,68
"Blake Treinen","SP",4.92857142857143,0.778285714285714,94.4565460141309,10.3417082007401,0.208962791543102,0.122571428571429,7
"Blake Wood","RP",0.8,0.822555555555556,96.1593340815563,10.1393936053658,0.177271832964053,0.194444444444444,9
"Bobby Korecky","RP",1.15,0.104,90.0875,5.87733193277312,0.10391363022942,0.1505,2
"Bobby LaFromboise","RP",0.692857142857143,0.592,89.1533103830326,8.95972165631385,0.123459070430405,0.232642857142857,28
"Bobby Parnell","RP",0.80375,0.6984625,94.1061393102595,9.71984187392958,0.181519548637092,0.1781125,80
"Boone Logan","RP",0.462179487179487,0.539980769230769,92.9950036399387,11.500516107441,0.165078949990264,0.315371794871795,156
"Bo Schultz","RP",1.35588235294118,0.805147058823529,94.948887968301,8.33537794799405,0.168088288250768,0.202911764705882,34
"Brad Boxberger","RP",0.930666666666667,0.633466666666667,92.7535054748586,13.2115680505866,0.178598601095239,0.285013333333333,150
"Brad Brach","RP",1.09440559440559,0.650391608391608,93.2712863267443,7.84782356818452,0.151842536788403,0.243916083916084,143
"Brad Hand","RP",1.3063829787234,0.636531914893617,92.8940706372878,11.1014433755983,0.172830639953494,0.189063829787234,47
"Brad Hand","SP",5.13,0.6806,92.1065841809736,9.92110832704218,0.182552512632044,0.159866666666667,30
"Bradin Hagens","RP",1.45,0.6915,87.5947368421053,9.06557017543859,0.125,0.303,2
"Brad Lincoln","RP",1.24166666666667,0.592166666666667,93.0740341161197,10.1403633857517,0.188785522484492,0.192916666666667,24
"Brad Mills","RP",1.7,0.6395,86.6530392156863,10.8147234262126,0.162208686440678,0.2085,2
"Brad Mills","SP",5.275,0.606,86.2024723231018,10.3584511706129,0.178232917348609,0.18675,4
"Brad Peacock","RP",1.9625,0.59875,92.5120845851782,13.0539275841332,0.143642024184719,0.157375,8
"Brad Peacock","SP",5.02307692307692,0.600307692307692,92.1092411561634,12.6748376240034,0.173359321339259,0.185461538461538,39
"Brad Penny","RP",1.575,0.7405,91.849011548796,11.5818000103345,0.142355100970365,0.082,4
"Brad Penny","SP",4.55,0.729,91.448617332109,9.34543856643023,0.142205774853801,0.081,4
"Brad Ziegler","RP",0.894312796208531,0.674829383886256,84.8625025329468,9.42395221831443,0.14063837649277,0.195687203791469,211
"Branden Pinder","RP",0.908,0.52624,94.704579552392,10.244290513653,0.173623899664147,0.2354,25
"Brandon Beachy","SP",5.32857142857143,0.593714285714286,89.8607786831935,11.27429463781,0.190690488228505,0.165857142857143,7
"Brandon Cumpton","RP",2.21428571428571,0.752714285714286,93.0485435992579,11.5066662046219,0.186645074318227,0.116285714285714,7
"Brandon Cumpton","SP",5.45333333333333,0.7046,92.2265357560739,8.13199283529583,0.18326031439159,0.132666666666667,15
"Brandon Cunniff","RP",0.746153846153846,0.627153846153846,93.0323608272347,10.7790985570974,0.186864426961889,0.285564102564103,39
"Brandon Finnegan","RP",1.18333333333333,0.757266666666667,92.9994439305737,10.767096329615,0.175911331772057,0.2575,30
"Brandon Finnegan","SP",5.25,0.69975,92.1097163436901,8.54082991895892,0.187593708165997,0.199,4
"Brandon Gomes","RP",0.823076923076923,0.461991452991453,90.607895790335,9.89602493387935,0.171728612347986,0.265534482758621,117
"Brandon Kintzler","RP",0.846478873239436,0.791323943661972,91.9919964444783,7.25407981379443,0.133194649299816,0.173605633802817,142
"Brandon League","RP",0.8256,0.717192,94.0317665432351,8.5573175095022,0.168091615212509,0.167056,125
"Brandon Lyon","RP",0.743243243243243,0.688891891891892,87.325837138043,9.37897507853391,0.15242529447133,0.187324324324324,37
"Brandon Maurer","RP",1.11290322580645,0.468408602150538,94.9842308156225,7.82304231703843,0.167201956770749,0.257462365591398,93
"Brandon Maurer","SP",4.575,0.5133,92.3069842913119,8.11216060933984,0.175218250137208,0.1883,20
"Brandon McCarthy","SP",6.02241379310345,0.772172413793103,91.6626194810422,11.2614746022616,0.188667660562428,0.158275862068966,58
"Brandon Morrow","RP",0.757142857142857,0.841714285714286,96.7864795918367,8.64147959183674,0.159757768890896,0.115571428571429,7
"Brandon Morrow","SP",5.25714285714286,0.531809523809524,93.2641809754189,8.30587464157334,0.171129646526117,0.199285714285714,21
"Brandon Workman","RP",1.23571428571429,0.733464285714286,91.5324530865732,13.6170119998821,0.192317502900164,0.1945,28
"Brandon Workman","SP",5.42222222222222,0.720777777777778,89.6021466422394,11.2377417911135,0.190608586830169,0.177111111111111,18
"Brayan Villarreal","RP",0.3375,0.8645,95.4858485446042,10.5632294969852,0.118147182917635,0.257285714285714,8
"Brendan Ryan","RP",2,0.071,85.65,7.92307692307693,0.178571428571429,0.067,1
"Brett Anderson","RP",1.575,0.509166666666667,92.9286318909266,10.1201282359558,0.277317322480106,0.207,12
"Brett Anderson","SP",5.41111111111111,0.532333333333333,90.5915293735041,10.1556005336537,0.184328517849401,0.168022222222222,45
"Brett Bochy","RP",0.871428571428571,0.864714285714286,87.8414715886355,7.04147158863546,0.131671899529042,0.201428571428571,7
"Brett Cecil","RP",0.761256544502618,0.536581151832461,91.6741489332964,7.95144528488466,0.188735697068111,0.306282722513089,191
"Brett Marshall","RP",3.76666666666667,0.563333333333333,89.3703131703132,7.65320853764877,0.121723241267833,0.297666666666667,3
"Brett Myers","RP",5.1,0.414,88.2055555555555,8.309477124183,0.264367816091954,0.167,1
"Brett Myers","SP",5.33333333333333,0.587333333333333,87.8345971109439,8.56134175032011,0.180844825968665,0.161333333333333,3
"Brett Oberholtzer","RP",2.36666666666667,0.66,91.1909340659341,10.0900834545571,0.171719898035688,0.110666666666667,3
"Brett Oberholtzer","SP",5.67619047619048,0.565642857142857,89.4459076868042,9.40894970371565,0.191725732116858,0.166071428571429,42
